YAL001C	1	151168	147596
YAL002W	1	143709	147533
YAL003W	1	142176	143162
YAL004W	1	140762	141409
YAL005C	1	141433	139505
YAL007C	1	138347	137700
YAL008W	1	136916	137512
YAL009W	1	135856	136635
YAL010C	1	135667	134186
YAL011W	1	132202	134079
YAL012W	1	130802	131986
YAL013W	1	129271	130533
YAL014C	1	129020	128253
YAL015C	1	128103	126904
YAL016C-A	1	125070	124756
YAL016C-B	1	124493	124308
YAL016W	1	124880	126787
YAL017W	1	120226	124296
YAL018C	1	119542	118565
YAL019W	1	114920	118315
YAL019W-A	1	114251	114820
YAL020C	1	114616	113615
YAL021C	1	113360	110847
YAL022C	1	110431	108878
YAL023C	1	108552	106273
YAL024C	1	105873	101566
YAL025C	1	101146	100226
YAL026C	1	99698	95631
YAL026C-A	1	95824	95387
YAL027W	1	94688	95473
YAL028W	1	92901	94487
YAL029C	1	92271	87856
YAL030W	1	87287	87753
YAL031C	1	87032	84750
YAL031W-A	1	84670	84978
YAL032C	1	84475	83336
YAL033W	1	82707	83228
YAL034C	1	81952	80711
YAL034C-B	1	79843	79490
YAL034W-A	1	79719	80588
YAL035W	1	76428	79436
YAL036C	1	76153	75044
YAL037C-A	1	73519	73427
YAL037C-B	1	73301	72327
YAL037W	1	74021	74824
YAL038W	1	71787	73289
YAL039C	1	69526	68717
YAL040C	1	67521	65779
YAL041W	1	62841	65405
YAL042C-A	1	61609	61232
YAL042W	1	61317	62564
YAL043C	1	61053	58696
YAL044C	1	58463	57951
YAL044W-A	1	57519	57851
YAL045C	1	57797	57489
YAL046C	1	57386	57030
YAL047C	1	56858	54990
YAL047W-A	1	54585	54914
YAL048C	1	54790	52802
YAL049C	1	52596	51856
YAL051W	1	48565	51708
YAL053W	1	45900	48251
YAL054C	1	45023	42882
YAL055W	1	42178	42720
YAL056C-A	1	39047	38697
YAL056W	1	39260	41902
YAL058W	1	37465	38973
YAL059C-A	1	36919	36497
YAL059W	1	36510	37148
YAL060W	1	35156	36304
YAL061W	1	33449	34702
YAL062W	1	31568	32941
YAL063C	1	27969	24001
YAL063C-A	1	22687	22397
YAL064C-A	1	13744	13364
YAL064W	1	21526	21852
YAL064W-B	1	12047	12427
YAL065C	1	11952	11566
YAL066W	1	10092	10400
YAL067C	1	9017	7236
YAL067W-A	1	2480	2707
YAL068C	1	2169	1807
